desired_heading,heading,steer_output,desired_velocity,velocity,throttle_output
0.0,0.01493693194317087,-1.2,0,1.0016651117724833e-07,0.0
-0.005799516134421659,0.01493693194317087,-0.013476154249499335,2.9999999351857016,4.392802528150287e-09,1
-0.019825121621212707,0.01493693194317087,-0.025819929431513552,2.9999999351857016,1.1012297633904496e-08,1
-0.030241691329276538,0.01493693194317087,-0.03228749791171703,2.9999999351857016,5.707892532320866e-09,1
-0.03296583736606469,0.008274073241631706,-0.027688050420424815,2.9999999351857016,2.600245982450083,0.2550892547757789
-0.030773578803848928,-0.010596716937127987,-0.007766729517862302,2.99999999205489,4.531355957546216,0.0
-0.021195058904223376,-0.02187892945824777,0.0017152270596106755,2.999999992501545,2.707888943056354,1
-0.01273046794813569,-0.022382266904272745,0.00043970644679782074,2.9999999837855666,2.118263717314864,1
-0.005417121526130889,-0.022038719123652524,0.003589964601154213,2.9999999883842987,2.2666872451502544,0.9939600105738522
0.006833040998235647,-0.01504100016425222,0.006235775007666882,2.999999985396932,6.873264138166176,0.0
0.014281596988066659,-0.007293332441142351,0.005908211809363884,2.99999998090644,5.414032165036947,0.0
-0.010080469892731167,-0.004008590592935919,-0.016652635454861155,2.999999988540584,3.2091357494817727e-05,1
-0.03494608938773806,-0.005301820057832447,-0.03235636413239047,2.9999999840466236,1.2704391270471507,1
-0.06642352648013494,-0.01884186263171601,-0.040862096656783524,2.999999987803038,3.279873766030167,0.0
-0.11799572208209795,-0.06121116808119565,-0.043624830609985336,2.9999999847006342,0.6850615418473649,1
-0.13435528664066165,-0.0865666337995141,-0.039588750762850455,2.999999990190366,2.1173337806630568,1
-0.11821549916402829,-0.10622931804930075,-0.00747052510546576,2.9999999754982545,3.4626817623206247,0.0
-0.10708669091757407,-0.12027165048982737,0.0019305474706691039,2.9999999864078735,3.670701890926833,0.0
-0.09581142615477313,-0.12060614352274132,0.0005076394750926257,2.999999990679726,0.9402293625408211,1
