x,y,z,roll,pitch,yaw,v
6.551659393310546875e+01,7.808422565460205078e+00,-7.003869861364364624e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.558231592178344727e-01,0.000000000000000000e+00
6.551659393310546875e+01,7.808422565460205078e+00,-7.003869861364364624e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.558231592178344727e-01,0.000000000000000000e+00
6.555661010742187500e+01,7.808382511138916016e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,0.000000000000000000e+00,1.095699718643254328e-01
6.556208801269531250e+01,7.808377265930175781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723105743527412415e-02,1.245699187870104030e-01
6.556208801269531250e+01,7.808377265930175781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723105743527412415e-02,1.245699187870104030e-01
6.556208801269531250e+01,7.808377265930175781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723105743527412415e-02,1.245699187870104030e-01
6.556831359863281250e+01,7.808371067047119141e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723429098725318909e-02,1.416233050909315450e-01
6.556831359863281250e+01,7.808371067047119141e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723429098725318909e-02,1.416233050909315450e-01
6.556831359863281250e+01,7.808371067047119141e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723429098725318909e-02,1.416233050909315450e-01
6.556831359863281250e+01,7.808371067047119141e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.723429098725318909e-02,1.416233050909315450e-01
6.557539367675781250e+01,7.808363914489746094e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722085386514663696e-02,1.610111059942024581e-01
6.557539367675781250e+01,7.808363914489746094e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722085386514663696e-02,1.610111059942024581e-01
6.557539367675781250e+01,7.808363914489746094e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722085386514663696e-02,1.610111059942024581e-01
6.557539367675781250e+01,7.808363914489746094e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722085386514663696e-02,1.610111059942024581e-01
6.558344268798828125e+01,7.808355808258056641e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720920860767364502e-02,1.830529680765958789e-01
6.558344268798828125e+01,7.808355808258056641e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720920860767364502e-02,1.830529680765958789e-01
6.558344268798828125e+01,7.808355808258056641e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720920860767364502e-02,1.830529680765958789e-01
6.558344268798828125e+01,7.808355808258056641e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720920860767364502e-02,1.830529680765958789e-01
6.559259796142578125e+01,7.808346748352050781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722362175583839417e-02,2.081121688727029517e-01
6.559259796142578125e+01,7.808346748352050781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722362175583839417e-02,2.081121688727029517e-01
6.559259796142578125e+01,7.808346748352050781e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722362175583839417e-02,2.081121688727029517e-01
6.560300445556640625e+01,7.808336257934570312e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720590427517890930e-02,2.366021026003527483e-01
6.560300445556640625e+01,7.808336257934570312e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720590427517890930e-02,2.366021026003527483e-01
6.560300445556640625e+01,7.808336257934570312e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720590427517890930e-02,2.366021026003527483e-01
6.560300445556640625e+01,7.808336257934570312e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720590427517890930e-02,2.366021026003527483e-01
6.561483764648437500e+01,7.808324337005615234e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.718573182821273804e-02,2.689923150532453899e-01
6.561483764648437500e+01,7.808324337005615234e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.718573182821273804e-02,2.689923150532453899e-01
6.561483764648437500e+01,7.808324337005615234e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.718573182821273804e-02,2.689923150532453899e-01
6.561483764648437500e+01,7.808324337005615234e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.718573182821273804e-02,2.689923150532453899e-01
6.562828826904296875e+01,7.808310985565185547e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720030143857002258e-02,3.058170404162546263e-01
6.562828826904296875e+01,7.808310985565185547e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720030143857002258e-02,3.058170404162546263e-01
6.562828826904296875e+01,7.808310985565185547e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720030143857002258e-02,3.058170404162546263e-01
6.562828826904296875e+01,7.808310985565185547e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720030143857002258e-02,3.058170404162546263e-01
6.564357757568359375e+01,7.808295726776123047e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720135942101478577e-02,3.476831735924914013e-01
6.564357757568359375e+01,7.808295726776123047e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720135942101478577e-02,3.476831735924914013e-01
6.564357757568359375e+01,7.808295726776123047e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.720135942101478577e-02,3.476831735924914013e-01
6.566096496582031250e+01,7.808278560638427734e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724449828267097473e-02,3.952804824174236398e-01
6.566096496582031250e+01,7.808278560638427734e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724449828267097473e-02,3.952804824174236398e-01
6.566096496582031250e+01,7.808278560638427734e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724449828267097473e-02,3.952804824174236398e-01
6.566096496582031250e+01,7.808278560638427734e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724449828267097473e-02,3.952804824174236398e-01
